,chromosome,start,end,strand,intron_motif,annotation,unique,multi,max_overhang,i,canonical_start,gene_id_start,canonical_end,gene_id_end,n_genes,gene_id,gene_name,intron_group,n_genes_per_intron_group,intron_group_size
2107,10,10956601,10957912,-,2,1,70,1,23,66371,1,ENSMUSG00000019828,0,ENSMUSG00000019828,1,ENSMUSG00000019828,Grm1,Grm1_10_10956601_-,1,2
2108,10,10956601,10957992,-,2,1,448,5,25,66372,1,ENSMUSG00000019828,1,ENSMUSG00000019828,1,ENSMUSG00000019828,Grm1,Grm1_10_10956601_-,1,2
2109,16,10959636,10963043,-,2,1,1717,0,11,66400,1,ENSMUSG00000037965,1,ENSMUSG00000037965,1,ENSMUSG00000037965,Zc3h7a,Zc3h7a_16_10959636_-,1,3
2110,16,10959636,10963105,-,2,1,502,0,19,66401,1,ENSMUSG00000037965,0,ENSMUSG00000037965,1,ENSMUSG00000037965,Zc3h7a,Zc3h7a_16_10959636_-,1,3
2111,16,10959636,10963509,-,2,1,264,0,23,66403,1,ENSMUSG00000037965,1,ENSMUSG00000037965,1,ENSMUSG00000037965,Zc3h7a,Zc3h7a_16_10959636_-,1,3
2112,16,10968621,10969002,-,2,1,5291,1,19,66478,1,ENSMUSG00000037965,1,ENSMUSG00000037965,1,ENSMUSG00000037965,Zc3h7a,Zc3h7a_16_10968621_-,1,2
2113,16,10968621,10969034,-,4,0,147,0,24,66479,1,ENSMUSG00000037965,2,,1,ENSMUSG00000037965,Zc3h7a,Zc3h7a_16_10968621_-,1,2
2114,16,10969190,10969729,-,2,1,1468,0,22,66486,1,ENSMUSG00000037965,1,ENSMUSG00000037965,1,ENSMUSG00000037965,Zc3h7a,Zc3h7a_16_10969190_-,1,2
2115,16,10969190,10970922,-,2,1,548,0,22,66487,1,ENSMUSG00000037965,1,ENSMUSG00000037965,1,ENSMUSG00000037965,Zc3h7a,Zc3h7a_16_10969190_-,1,2
2116,16,10982558,10993800,-,2,1,366,0,25,66574,1,ENSMUSG00000037965,0,ENSMUSG00000037965,1,ENSMUSG00000037965,Zc3h7a,Zc3h7a_16_10982558_-,1,2
2117,16,10982558,10994083,-,2,1,2934,10,16,66576,1,ENSMUSG00000037965,1,ENSMUSG00000037965,1,ENSMUSG00000037965,Zc3h7a,Zc3h7a_16_10982558_-,1,2
2118,16,11011602,11011773,-,2,0,73,0,25,66640,1,ENSMUSG00000005846,2,,1,ENSMUSG00000005846,Rsl1d1,Rsl1d1_16_11011602_-,1,3
2119,16,11011602,11012323,-,2,1,9320,3,23,66641,1,ENSMUSG00000005846,1,ENSMUSG00000005846,1,ENSMUSG00000005846,Rsl1d1,Rsl1d1_16_11011602_-,1,3
2120,16,11011602,11012329,-,2,0,110,0,18,66642,1,ENSMUSG00000005846,2,,1,ENSMUSG00000005846,Rsl1d1,Rsl1d1_16_11011602_-,1,3
2121,16,11017351,11017434,-,2,1,11095,3,22,66677,1,ENSMUSG00000005846,1,ENSMUSG00000005846,1,ENSMUSG00000005846,Rsl1d1,Rsl1d1_16_11017351_-,1,2
2122,16,11017351,11019158,-,2,1,120,0,25,66678,1,ENSMUSG00000005846,1,ENSMUSG00000005846,1,ENSMUSG00000005846,Rsl1d1,Rsl1d1_16_11017351_-,1,2
2123,10,11025248,11027356,+,1,0,210,1,22,66709,2,,1,ENSMUSG00000090112,1,ENSMUSG00000090112,Shprh,Shprh_10_11027356_+,1,2
2124,10,11025331,11027356,+,1,1,3619,2,20,66711,1,ENSMUSG00000090112,1,ENSMUSG00000090112,1,ENSMUSG00000090112,Shprh,Shprh_10_11027356_+,1,2
2125,10,11043657,11045722,+,1,1,441,0,23,66836,1,ENSMUSG00000090112,1,ENSMUSG00000090112,1,ENSMUSG00000090112,Shprh,Shprh_10_11045722_+,1,2
2126,10,11045625,11045722,+,1,0,53,0,18,66843,2,,1,ENSMUSG00000090112,1,ENSMUSG00000090112,Shprh,Shprh_10_11045722_+,1,2
2127,10,11047739,11054477,+,1,1,536,1,11,66859,1,ENSMUSG00000090112,1,ENSMUSG00000090112,1,ENSMUSG00000090112,Shprh,Shprh_10_11054477_+,1,2
2128,10,11047746,11054477,+,1,1,93,0,25,66860,0,ENSMUSG00000090112,1,ENSMUSG00000090112,1,ENSMUSG00000090112,Shprh,Shprh_10_11054477_+,1,2
2129,4,11062153,11066650,-,2,1,2136,0,25,66990,1,ENSMUSG00000050323,1,ENSMUSG00000050323,1,ENSMUSG00000050323,Ndufaf6,Ndufaf6_4_11062153_-,1,2
2130,4,11062153,11070199,-,2,1,1929,1,25,66992,1,ENSMUSG00000050323,1,ENSMUSG00000050323,1,ENSMUSG00000050323,Ndufaf6,Ndufaf6_4_11062153_-,1,2
2131,4,11066708,11068055,-,2,0,263,0,21,67049,1,ENSMUSG00000050323,2,,1,ENSMUSG00000050323,Ndufaf6,Ndufaf6_4_11066708_-,1,2
2132,4,11066708,11070199,-,2,1,2351,0,20,67051,1,ENSMUSG00000050323,1,ENSMUSG00000050323,1,ENSMUSG00000050323,Ndufaf6,Ndufaf6_4_11066708_-,1,2
2133,4,11070323,11073139,-,2,1,1355,0,24,67076,1,ENSMUSG00000050323,0,ENSMUSG00000050323,1,ENSMUSG00000050323,Ndufaf6,Ndufaf6_4_11070323_-,1,3
2134,4,11070323,11073143,-,4,1,2904,12,17,67077,1,ENSMUSG00000050323,1,ENSMUSG00000050323,1,ENSMUSG00000050323,Ndufaf6,Ndufaf6_4_11070323_-,1,3
2135,4,11070323,11073186,-,2,1,384,0,21,67078,1,ENSMUSG00000050323,0,ENSMUSG00000050323,1,ENSMUSG00000050323,Ndufaf6,Ndufaf6_4_11070323_-,1,3
2136,12,11142757,11155041,-,2,0,66,0,18,67309,1,ENSMUSG00000043673,2,,1,ENSMUSG00000043673,Kcns3,Kcns3_12_11142757_-,1,2
2137,12,11142757,11169759,-,2,1,2631,12,9,67312,1,ENSMUSG00000043673,1,ENSMUSG00000043673,1,ENSMUSG00000043673,Kcns3,Kcns3_12_11142757_-,1,2
2138,12,11169950,11178388,-,2,0,275,0,21,67406,1,ENSMUSG00000043673,2,,1,ENSMUSG00000043673,Kcns3,Kcns3_12_11169950_-,1,5
2139,12,11169950,11199514,-,2,0,113,0,25,67411,1,ENSMUSG00000043673,2,,1,ENSMUSG00000043673,Kcns3,Kcns3_12_11169950_-,1,5
2140,12,11169950,11200185,-,2,1,710,21,11,67413,1,ENSMUSG00000043673,1,ENSMUSG00000043673,1,ENSMUSG00000043673,Kcns3,Kcns3_12_11169950_-,1,5
2141,12,11169950,11200717,-,2,1,101,6,12,67414,1,ENSMUSG00000043673,0,ENSMUSG00000043673,1,ENSMUSG00000043673,Kcns3,Kcns3_12_11169950_-,1,5
2142,12,11169950,11200952,-,2,1,3130,33,20,67415,1,ENSMUSG00000043673,0,ENSMUSG00000043673,1,ENSMUSG00000043673,Kcns3,Kcns3_12_11169950_-,1,5
2143,16,11185666,11217628,+,1,1,288,0,25,67457,1,ENSMUSG00000071669,1,ENSMUSG00000071669,1,ENSMUSG00000071669,Snx29,Snx29_16_11217628_+,1,2
2144,4,11191545,11192680,+,1,1,173,0,20,67472,1,ENSMUSG00000028212,1,ENSMUSG00000028212,1,ENSMUSG00000028212,Ccne2,Ccne2_4_11192680_+,1,2
2145,4,11191816,11192680,+,1,1,406,11,16,67474,0,ENSMUSG00000028212,1,ENSMUSG00000028212,1,ENSMUSG00000028212,Ccne2,Ccne2_4_11192680_+,1,2
2146,4,11209466,11211881,-,2,1,3110,3,20,67550,1,ENSMUSG00000040738,1,ENSMUSG00000040738,1,ENSMUSG00000040738,Ints8,Ints8_4_11209466_-,1,2
2147,4,11209466,11213705,-,2,1,114,0,18,67551,1,ENSMUSG00000040738,1,ENSMUSG00000040738,1,ENSMUSG00000040738,Ints8,Ints8_4_11209466_-,1,2
2148,4,11211933,11212791,-,2,1,126,0,22,67567,1,ENSMUSG00000040738,0,ENSMUSG00000040738,1,ENSMUSG00000040738,Ints8,Ints8_4_11211933_-,1,2
2149,4,11211933,11213705,-,2,1,3389,69,16,67568,1,ENSMUSG00000040738,1,ENSMUSG00000040738,1,ENSMUSG00000040738,Ints8,Ints8_4_11211933_-,1,2
2150,16,11213264,11217628,+,1,1,3248,14,21,67572,1,ENSMUSG00000071669,1,ENSMUSG00000071669,1,ENSMUSG00000071669,Snx29,Snx29_16_11217628_+,1,2
2151,4,11247904,11248170,-,2,1,4535,0,9,67736,1,ENSMUSG00000040738,1,ENSMUSG00000040738,1,ENSMUSG00000040738,Ints8,Ints8_4_11247904_-,1,2
2152,4,11247904,11252775,-,2,1,141,0,19,67737,1,ENSMUSG00000040738,1,ENSMUSG00000040738,1,ENSMUSG00000040738,Ints8,Ints8_4_11247904_-,1,2
2153,12,11321873,11326260,+,1,1,219,0,13,68247,1,ENSMUSG00000020608,1,ENSMUSG00000020608,1,ENSMUSG00000020608,Smc6,Smc6_12_11326260_+,1,2
2154,12,11321873,11329605,+,1,1,574,0,20,68248,1,ENSMUSG00000020608,1,ENSMUSG00000020608,1,ENSMUSG00000020608,Smc6,Smc6_12_11329605_+,1,3
2155,12,11324113,11326260,+,1,1,9305,1,24,68255,1,ENSMUSG00000020608,1,ENSMUSG00000020608,1,ENSMUSG00000020608,Smc6,Smc6_12_11326260_+,1,2
2156,12,11324113,11329605,+,1,1,686,36,25,68256,1,ENSMUSG00000020608,1,ENSMUSG00000020608,1,ENSMUSG00000020608,Smc6,Smc6_12_11329605_+,1,3
2157,12,11326367,11329605,+,1,1,12711,612,23,68262,1,ENSMUSG00000020608,1,ENSMUSG00000020608,1,ENSMUSG00000020608,Smc6,Smc6_12_11329605_+,1,3
2158,12,11335411,11339128,+,1,1,4807,6,5,68348,1,ENSMUSG00000020608,1,ENSMUSG00000020608,1,ENSMUSG00000020608,Smc6,Smc6_12_11339128_+,1,2
2159,12,11335690,11339128,+,1,0,105,0,25,68351,2,,1,ENSMUSG00000020608,1,ENSMUSG00000020608,Smc6,Smc6_12_11339128_+,1,2
2160,12,11436983,11485588,-,2,1,91,0,25,68741,1,ENSMUSG00000054459,0,ENSMUSG00000054459,1,ENSMUSG00000054459,Vsnl1,Vsnl1_12_11436983_-,1,2
2161,12,11436983,11486357,-,2,1,23493,16,23,68743,1,ENSMUSG00000054459,1,ENSMUSG00000054459,1,ENSMUSG00000054459,Vsnl1,Vsnl1_12_11436983_-,1,2
2162,1,11484862,11588801,+,1,1,842,0,22,68972,1,ENSMUSG00000057715,1,ENSMUSG00000057715,1,ENSMUSG00000057715,A830018L16Rik,A830018L16Rik_1_11588801_+,1,2
2163,4,11486106,11498739,+,1,1,90,0,20,68985,1,ENSMUSG00000040720,1,ENSMUSG00000040720,1,ENSMUSG00000040720,Virma,Virma_4_11498739_+,1,2
2164,4,11494880,11498739,+,1,1,3647,2,8,69048,1,ENSMUSG00000040720,1,ENSMUSG00000040720,1,ENSMUSG00000040720,Virma,Virma_4_11498739_+,1,2
2165,2,11498840,11506435,-,2,1,1103,0,24,69080,1,ENSMUSG00000026773,1,ENSMUSG00000026773,1,ENSMUSG00000026773,Pfkfb3,Pfkfb3_2_11498840_-,1,2
2166,2,11498840,11558637,-,2,1,140,2,8,69082,1,ENSMUSG00000026773,0,ENSMUSG00000026773,1,ENSMUSG00000026773,Pfkfb3,Pfkfb3_2_11498840_-,1,2
2167,4,11501358,11506953,+,1,1,157,0,17,69095,1,ENSMUSG00000040720,1,ENSMUSG00000040720,1,ENSMUSG00000040720,Virma,Virma_4_11506953_+,1,2
2168,4,11505611,11506953,+,1,1,1809,0,12,69119,1,ENSMUSG00000040720,1,ENSMUSG00000040720,1,ENSMUSG00000040720,Virma,Virma_4_11506953_+,1,2
2169,8,11547627,11552621,+,1,1,3460,5,21,69320,0,ENSMUSG00000031505,1,ENSMUSG00000031505,1,ENSMUSG00000031505,Naxd,Naxd_8_11552621_+,1,3
2170,8,11547741,11552621,+,1,1,2174,30,18,69324,1,ENSMUSG00000031505,1,ENSMUSG00000031505,1,ENSMUSG00000031505,Naxd,Naxd_8_11552621_+,1,3
2171,8,11547971,11552621,+,1,0,105,0,24,69327,2,,1,ENSMUSG00000031505,1,ENSMUSG00000031505,Naxd,Naxd_8_11552621_+,1,3
2172,8,11554931,11556706,+,1,1,171,0,17,69347,1,ENSMUSG00000031505,1,ENSMUSG00000031505,1,ENSMUSG00000031505,Naxd,Naxd_8_11556706_+,1,2
2173,8,11555520,11556706,+,1,1,11059,2,9,69351,1,ENSMUSG00000031505,1,ENSMUSG00000031505,1,ENSMUSG00000031505,Naxd,Naxd_8_11556706_+,1,2
2174,8,11560348,11562894,+,1,1,1313,0,15,69384,1,ENSMUSG00000031505,1,ENSMUSG00000031505,1,ENSMUSG00000031505,Naxd,Naxd_8_11562894_+,1,2
2175,8,11561998,11562894,+,1,1,7589,3,19,69390,1,ENSMUSG00000031505,1,ENSMUSG00000031505,1,ENSMUSG00000031505,Naxd,Naxd_8_11562894_+,1,2
2176,1,11582290,11588801,+,1,1,9188,24,5,69495,1,ENSMUSG00000057715,1,ENSMUSG00000057715,1,ENSMUSG00000057715,A830018L16Rik,A830018L16Rik_1_11588801_+,1,2
2177,1,11588934,11633186,+,1,1,1081,12,20,69521,1,ENSMUSG00000057715,1,ENSMUSG00000057715,1,ENSMUSG00000057715,A830018L16Rik,A830018L16Rik_1_11633186_+,1,2
2178,2,11591777,11592268,-,2,0,150,0,25,69536,1,ENSMUSG00000037197,2,,1,ENSMUSG00000037197,Rbm17,Rbm17_2_11591777_-,1,3
2179,2,11591777,11592531,-,2,1,8973,68,23,69537,1,ENSMUSG00000037197,1,ENSMUSG00000037197,1,ENSMUSG00000037197,Rbm17,Rbm17_2_11591777_-,1,3
2180,2,11591777,11593738,-,2,1,719,0,22,69541,1,ENSMUSG00000037197,1,ENSMUSG00000037197,1,ENSMUSG00000037197,Rbm17,Rbm17_2_11591777_-,1,3
2181,8,11592591,11592901,-,2,1,102,1,14,69546,1,ENSMUSG00000056228,0,ENSMUSG00000056228,1,ENSMUSG00000056228,Cars2,Cars2_8_11592591_-,1,2
2182,8,11592591,11597726,-,2,1,1607,1,14,69548,1,ENSMUSG00000056228,1,ENSMUSG00000056228,1,ENSMUSG00000056228,Cars2,Cars2_8_11592591_-,1,2
2183,8,11605979,11611417,+,1,1,201,5,22,69630,0,ENSMUSG00000045969,1,ENSMUSG00000045969,1,ENSMUSG00000045969,Ing1,Ing1_8_11611417_+,1,4
2184,8,11606096,11611417,+,1,1,301,4,25,69632,0,ENSMUSG00000045969,1,ENSMUSG00000045969,1,ENSMUSG00000045969,Ing1,Ing1_8_11611417_+,1,4
2185,8,11607046,11611417,+,1,1,3083,0,20,69643,1,ENSMUSG00000045969,1,ENSMUSG00000045969,1,ENSMUSG00000045969,Ing1,Ing1_8_11611417_+,1,4
2186,8,11608567,11611417,+,1,1,742,0,13,69657,0,ENSMUSG00000045969,1,ENSMUSG00000045969,1,ENSMUSG00000045969,Ing1,Ing1_8_11611417_+,1,4
2187,1,11615507,11633186,+,1,1,3996,12,22,69681,1,ENSMUSG00000057715,1,ENSMUSG00000057715,1,ENSMUSG00000057715,A830018L16Rik,A830018L16Rik_1_11633186_+,1,2
2188,1,11633216,11658597,+,1,1,6035,27,18,69730,1,ENSMUSG00000057715,1,ENSMUSG00000057715,1,ENSMUSG00000057715,A830018L16Rik,A830018L16Rik_1_11658597_+,1,2
2189,17,11653521,11711565,+,1,1,1345,0,17,69792,1,ENSMUSG00000023826,1,ENSMUSG00000023826,1,ENSMUSG00000023826,Prkn,Prkn_17_11711565_+,1,2
2190,1,11653706,11658597,+,1,0,130,0,23,69798,2,,1,ENSMUSG00000057715,1,ENSMUSG00000057715,A830018L16Rik,A830018L16Rik_1_11658597_+,1,2
2191,1,11658771,11666374,+,1,1,5174,2,19,69813,1,ENSMUSG00000057715,1,ENSMUSG00000057715,1,ENSMUSG00000057715,A830018L16Rik,A830018L16Rik_1_11666374_+,1,2
2192,1,11658796,11666374,+,1,1,396,0,25,69818,0,ENSMUSG00000057715,1,ENSMUSG00000057715,1,ENSMUSG00000057715,A830018L16Rik,A830018L16Rik_1_11666374_+,1,2
2193,8,11669298,11670261,-,2,1,675,1,24,69871,1,ENSMUSG00000031508,0,ENSMUSG00000031508,1,ENSMUSG00000031508,Ankrd10,Ankrd10_8_11669298_-,1,3
2194,8,11669298,11673696,-,2,1,900,3,8,69874,1,ENSMUSG00000031508,0,ENSMUSG00000031508,1,ENSMUSG00000031508,Ankrd10,Ankrd10_8_11669298_-,1,3
2195,8,11669298,11678438,-,2,1,2135,1,24,69877,1,ENSMUSG00000031508,1,ENSMUSG00000031508,1,ENSMUSG00000031508,Ankrd10,Ankrd10_8_11669298_-,1,3
2196,8,11683019,11684810,-,2,1,317,0,18,69930,1,ENSMUSG00000031508,0,ENSMUSG00000031508,1,ENSMUSG00000031508,Ankrd10,Ankrd10_8_11683019_-,1,2
2197,8,11683019,11685410,-,2,1,5311,39,25,69931,1,ENSMUSG00000031508,1,ENSMUSG00000031508,1,ENSMUSG00000031508,Ankrd10,Ankrd10_8_11683019_-,1,2
2198,17,11683888,11711565,+,1,0,713,0,21,69936,2,,1,ENSMUSG00000023826,1,ENSMUSG00000023826,Prkn,Prkn_17_11711565_+,1,2
2199,4,11706200,11711138,+,1,0,103,0,24,69995,2,,1,ENSMUSG00000028214,1,ENSMUSG00000028214,Gem,Gem_4_11711138_+,1,2
2200,4,11706242,11711138,+,1,1,2071,3,25,69998,1,ENSMUSG00000028214,1,ENSMUSG00000028214,1,ENSMUSG00000028214,Gem,Gem_4_11711138_+,1,2
2201,2,11710390,11723074,+,1,1,896,4,22,70012,0,ENSMUSG00000023206,1,ENSMUSG00000023206,1,ENSMUSG00000023206,Il15ra,Il15ra_2_11723074_+,1,2
2202,2,11710756,11723074,+,1,1,129,0,25,70014,1,ENSMUSG00000023206,1,ENSMUSG00000023206,1,ENSMUSG00000023206,Il15ra,Il15ra_2_11723074_+,1,2
2203,17,11711682,11775534,+,1,1,153,1,25,70032,1,ENSMUSG00000023826,0,ENSMUSG00000023826,1,ENSMUSG00000023826,Prkn,Prkn_17_11775534_+,1,2
2204,17,11711682,11854196,+,1,1,467,8,22,70038,1,ENSMUSG00000023826,1,ENSMUSG00000023826,1,ENSMUSG00000023826,Prkn,Prkn_17_11854196_+,1,2
2205,2,11723270,11728223,+,1,1,94,0,22,70080,1,ENSMUSG00000023206,1,ENSMUSG00000023206,1,ENSMUSG00000023206,Il15ra,Il15ra_2_11728223_+,1,2
2206,2,11723270,11728906,+,1,1,138,0,7,70082,1,ENSMUSG00000023206,1,ENSMUSG00000023206,1,ENSMUSG00000023206,Il15ra,Il15ra_2_11728906_+,1,2
2207,2,11724917,11728223,+,1,1,85,0,20,70095,1,ENSMUSG00000023206,1,ENSMUSG00000023206,1,ENSMUSG00000023206,Il15ra,Il15ra_2_11728223_+,1,2
2208,2,11728422,11728906,+,1,1,283,0,24,70104,1,ENSMUSG00000023206,1,ENSMUSG00000023206,1,ENSMUSG00000023206,Il15ra,Il15ra_2_11728906_+,1,2
2209,14,11740049,12048159,+,1,1,323,9,22,70156,1,ENSMUSG00000060579,1,ENSMUSG00000060579,1,ENSMUSG00000060579,Fhit,Fhit_14_12048159_+,1,2
2210,2,11751978,11753174,-,2,1,7223,3,21,70254,1,ENSMUSG00000058594,1,ENSMUSG00000058594,1,ENSMUSG00000058594,Fbh1,Fbh1_2_11751978_-,1,2
2211,2,11751978,11753747,-,2,1,340,0,24,70255,1,ENSMUSG00000058594,1,ENSMUSG00000058594,1,ENSMUSG00000058594,Fbh1,Fbh1_2_11751978_-,1,2
2212,19,11760501,11761573,-,2,0,1040,13,17,70328,1,ENSMUSG00000041488,2,,1,ENSMUSG00000041488,Stx3,Stx3_19_11760501_-,1,2
2213,19,11760501,11762753,-,2,1,1014,0,18,70331,1,ENSMUSG00000041488,1,ENSMUSG00000041488,1,ENSMUSG00000041488,Stx3,Stx3_19_11760501_-,1,2
2214,2,11763260,11764739,-,2,1,5931,1,21,70372,1,ENSMUSG00000058594,1,ENSMUSG00000058594,1,ENSMUSG00000058594,Fbh1,Fbh1_2_11763260_-,1,2
2215,2,11763260,11767641,-,2,1,157,0,24,70375,1,ENSMUSG00000058594,1,ENSMUSG00000058594,1,ENSMUSG00000058594,Fbh1,Fbh1_2_11763260_-,1,2
2216,19,11766996,11767403,-,2,0,76,0,20,70406,1,ENSMUSG00000041488,2,,1,ENSMUSG00000041488,Stx3,Stx3_19_11766996_-,1,4
2217,19,11766996,11767411,-,2,1,3095,0,21,70407,1,ENSMUSG00000041488,0,ENSMUSG00000041488,1,ENSMUSG00000041488,Stx3,Stx3_19_11766996_-,1,4
2218,19,11766996,11769109,-,2,1,303,0,24,70408,1,ENSMUSG00000041488,1,ENSMUSG00000041488,1,ENSMUSG00000041488,Stx3,Stx3_19_11766996_-,1,4
2219,19,11766996,11780857,-,2,1,552,0,24,70409,1,ENSMUSG00000041488,1,ENSMUSG00000041488,1,ENSMUSG00000041488,Stx3,Stx3_19_11766996_-,1,4
2220,19,11767458,11769109,-,2,1,3158,1,18,70414,0,ENSMUSG00000041488,1,ENSMUSG00000041488,1,ENSMUSG00000041488,Stx3,Stx3_19_11767458_-,1,2
2221,19,11767458,11780857,-,2,1,212,0,23,70415,0,ENSMUSG00000041488,1,ENSMUSG00000041488,1,ENSMUSG00000041488,Stx3,Stx3_19_11767458_-,1,2
2222,2,11772523,11774560,-,2,1,1252,0,17,70443,1,ENSMUSG00000058594,0,ENSMUSG00000058594,1,ENSMUSG00000058594,Fbh1,Fbh1_2_11772523_-,1,2
2223,2,11772523,11774586,-,2,1,4379,0,25,70444,1,ENSMUSG00000058594,1,ENSMUSG00000058594,1,ENSMUSG00000058594,Fbh1,Fbh1_2_11772523_-,1,2
2224,2,11774743,11782214,-,2,1,844,0,25,70458,1,ENSMUSG00000058594,0,ENSMUSG00000058594,1,ENSMUSG00000058594,Fbh1,Fbh1_2_11774743_-,1,2
2225,2,11774743,11782242,-,2,1,2568,0,25,70459,1,ENSMUSG00000058594,1,ENSMUSG00000058594,1,ENSMUSG00000058594,Fbh1,Fbh1_2_11774743_-,1,2
2226,17,11775445,11775534,+,1,0,209,0,23,70463,2,,0,ENSMUSG00000023826,1,ENSMUSG00000023826,Prkn,Prkn_17_11775534_+,1,2
2227,2,11784635,11786287,+,1,1,1270,1,22,70507,0,ENSMUSG00000047909,1,ENSMUSG00000047909,1,ENSMUSG00000047909,Ankrd16,Ankrd16_2_11786287_+,1,3
2228,2,11784709,11786287,+,1,1,1117,7,11,70510,1,ENSMUSG00000047909,1,ENSMUSG00000047909,1,ENSMUSG00000047909,Ankrd16,Ankrd16_2_11786287_+,1,3
2229,2,11784896,11786287,+,1,0,110,0,22,70519,2,,1,ENSMUSG00000047909,1,ENSMUSG00000047909,Ankrd16,Ankrd16_2_11786287_+,1,3
2230,2,11786331,11788451,+,1,1,1449,2,24,70532,1,ENSMUSG00000047909,1,ENSMUSG00000047909,1,ENSMUSG00000047909,Ankrd16,Ankrd16_2_11788451_+,1,3
2231,2,11786345,11788451,+,1,1,297,0,25,70534,0,ENSMUSG00000047909,1,ENSMUSG00000047909,1,ENSMUSG00000047909,Ankrd16,Ankrd16_2_11788451_+,1,3
2232,2,11787531,11788451,+,1,0,269,3,22,70546,2,,1,ENSMUSG00000047909,1,ENSMUSG00000047909,Ankrd16,Ankrd16_2_11788451_+,1,3
2233,2,11788561,11789101,+,1,1,1823,19,24,70555,1,ENSMUSG00000047909,1,ENSMUSG00000047909,1,ENSMUSG00000047909,Ankrd16,Ankrd16_2_11789101_+,1,2
2234,2,11788568,11789101,+,1,1,2190,22,7,70557,0,ENSMUSG00000047909,1,ENSMUSG00000047909,1,ENSMUSG00000047909,Ankrd16,Ankrd16_2_11789101_+,1,2
2235,2,11789264,11791034,+,1,1,2219,5,25,70562,1,ENSMUSG00000047909,1,ENSMUSG00000047909,1,ENSMUSG00000047909,Ankrd16,Ankrd16_2_11791034_+,1,2
2236,2,11790072,11791034,+,1,1,2111,5,23,70571,0,ENSMUSG00000047909,1,ENSMUSG00000047909,1,ENSMUSG00000047909,Ankrd16,Ankrd16_2_11791034_+,1,2
2237,18,11790750,11793791,+,1,1,1352,19,10,70579,0,ENSMUSG00000041238,1,ENSMUSG00000041238,1,ENSMUSG00000041238,Rbbp8,Rbbp8_18_11793791_+,1,2
2238,18,11791031,11793791,+,1,1,155,0,21,70583,0,ENSMUSG00000041238,1,ENSMUSG00000041238,1,ENSMUSG00000041238,Rbbp8,Rbbp8_18_11793791_+,1,2
2239,2,11791114,11794544,+,1,1,4490,11,22,70586,1,ENSMUSG00000047909,1,ENSMUSG00000047909,1,ENSMUSG00000047909,Ankrd16,Ankrd16_2_11794544_+,1,2
2240,2,11792383,11794544,+,1,1,224,2,24,70594,0,ENSMUSG00000047909,1,ENSMUSG00000047909,1,ENSMUSG00000047909,Ankrd16,Ankrd16_2_11794544_+,1,2
2241,16,11803008,11813146,+,1,1,222,0,24,70665,1,ENSMUSG00000022494,0,ENSMUSG00000022494,1,ENSMUSG00000022494,Shisa9,Shisa9_16_11813146_+,1,2
2242,8,11808518,11831154,+,1,1,2484,8,7,70688,1,ENSMUSG00000031511,1,ENSMUSG00000031511,1,ENSMUSG00000031511,Arhgef7,Arhgef7_8_11831154_+,1,2
2243,16,11811915,11813146,+,3,1,404,0,20,70707,0,ENSMUSG00000022494,0,ENSMUSG00000022494,1,ENSMUSG00000022494,Shisa9,Shisa9_16_11813146_+,1,2
2244,1,11818316,11868704,+,1,1,705,0,21,70750,0,ENSMUSG00000057715,1,ENSMUSG00000057715,1,ENSMUSG00000057715,A830018L16Rik,A830018L16Rik_1_11868704_+,1,2
2245,1,11818325,11868704,+,1,1,2171,2,21,70752,1,ENSMUSG00000057715,1,ENSMUSG00000057715,1,ENSMUSG00000057715,A830018L16Rik,A830018L16Rik_1_11868704_+,1,2
2246,8,11829340,11831154,+,1,0,88,0,17,70777,2,,1,ENSMUSG00000031511,1,ENSMUSG00000031511,Arhgef7,Arhgef7_8_11831154_+,1,2
2247,17,11834707,11854196,+,1,0,338,0,18,70819,2,,1,ENSMUSG00000023826,1,ENSMUSG00000023826,Prkn,Prkn_17_11854196_+,1,2
2248,8,11872050,11881492,+,1,1,95,1,3,70996,1,ENSMUSG00000031511,0,ENSMUSG00000031511,1,ENSMUSG00000031511,Arhgef7,Arhgef7_8_11881492_+,1,2
2249,8,11874682,11881492,+,1,1,316,0,22,71008,0,ENSMUSG00000031511,0,ENSMUSG00000031511,1,ENSMUSG00000031511,Arhgef7,Arhgef7_8_11881492_+,1,2
2250,19,11898928,11899830,+,1,1,514,0,25,71133,1,ENSMUSG00000046139,1,ENSMUSG00000046139,1,ENSMUSG00000046139,Patl1,Patl1_19_11899830_+,1,2
2251,19,11899359,11899830,+,1,1,137,0,12,71134,0,ENSMUSG00000046139,1,ENSMUSG00000046139,1,ENSMUSG00000046139,Patl1,Patl1_19_11899830_+,1,2
2252,1,11900116,12021186,+,1,1,584,3,25,71147,1,ENSMUSG00000057715,1,ENSMUSG00000057715,1,ENSMUSG00000057715,A830018L16Rik,A830018L16Rik_1_12021186_+,1,2
2253,13,11900425,11905719,-,2,1,3246,1,11,71152,1,ENSMUSG00000021313,1,ENSMUSG00000021313,1,ENSMUSG00000021313,Ryr2,Ryr2_13_11900425_-,1,2
2254,13,11900425,11933196,-,2,1,178,0,23,71153,1,ENSMUSG00000021313,1,ENSMUSG00000021313,1,ENSMUSG00000021313,Ryr2,Ryr2_13_11900425_-,1,2
